date;brand_id;phrase_id;shows
2021-07-08;1;17;5448
2021-07-08;1;18;20464
2021-07-08;1;19;2127
2021-07-08;1;20;132
2021-07-08;1;21;1721
2021-07-08;1;22;221
2021-07-09;1;14;485
2021-07-09;1;15;971
2021-07-09;1;16;53
2021-07-09;0;4;4
2021-07-09;0;5;76
2021-07-09;0;6;3
2021-07-09;0;0;1662
2021-07-09;0;1;71
2021-07-09;0;2;73
2021-07-09;0;3;143
2021-07-09;0;7;10409
2021-07-09;0;8;1834
2021-07-09;0;9;530
2021-07-09;0;10;80
2021-07-09;1;11;1162
2021-07-09;1;12;57
2021-07-09;1;13;143
2021-07-09;1;17;5519
2021-07-09;1;18;20601
2021-07-09;1;19;2152
2021-07-09;1;20;126
2021-07-09;1;21;1729
2021-07-09;1;22;222
2021-07-10;0;0;1654
2021-07-10;0;1;71
2021-07-10;0;2;69
2021-07-10;0;3;141
2021-07-10;0;4;4
2021-07-10;0;5;82
2021-07-10;0;6;6
2021-07-10;0;7;10480
2021-07-10;0;8;1849
2021-07-10;0;9;531
2021-07-10;0;10;81
2021-07-10;1;11;1179
2021-07-10;1;12;64
2021-07-10;1;13;148
2021-07-10;1;14;490
2021-07-10;1;15;967
2021-07-10;1;16;58
2021-07-10;1;17;5574
2021-07-10;1;18;20704
2021-07-10;1;19;2145
2021-07-10;1;20;126
2021-07-10;1;21;1732
2021-07-10;1;22;223
2021-07-11;0;0;1632
2021-07-11;0;1;66
2021-07-11;0;2;76
2021-07-11;0;3;135
2021-07-11;0;4;4
2021-07-11;0;5;79
2021-07-11;0;6;6
2021-07-11;0;7;10496
2021-07-11;0;8;1828
2021-07-11;0;9;518
2021-07-11;0;10;84
2021-07-11;1;11;1146
2021-07-11;1;12;64
2021-07-11;1;13;143
2021-07-11;1;14;492
2021-07-11;1;15;930
2021-07-11;1;16;64
2021-07-11;1;17;5667
2021-07-11;1;18;20694
2021-07-11;1;19;2150
2021-07-11;1;20;119
2021-07-11;1;21;1725
2021-07-11;1;22;230
2021-07-12;0;0;1603
2021-07-12;0;1;63
2021-07-12;0;2;74
2021-07-12;0;3;133
2021-07-12;0;4;4
2021-07-12;0;5;81
2021-07-12;0;6;6
2021-07-12;0;7;10445
2021-07-12;0;8;1819
2021-07-12;0;9;511
2021-07-12;0;10;84
2021-07-12;1;11;1137
2021-07-12;1;12;62
